Route No,Route Name,From Stop Name,Till Stop Name,Via Stop Name,Route Type,Bstop ID,Bstop Name,DIST KM,IN ACTIVE,DTL IN ACTIVE
418,Kankavli To Solapur,Kankavli,Solapur,,MO,2786,Kankavli,,,
418,Kankavli To Solapur,Kankavli,Solapur,,MO,2768,Janavali Gavthanwadi,3.8,,
418,Kankavli To Solapur,Kankavli,Solapur,,MO,2756,Humrat Titha,6.9,,
418,Kankavli To Solapur,Kankavli,Solapur,,MO,2757,Humrath Mal Ghorpiwadi,9.4,,
418,Kankavli To Solapur,Kankavli,Solapur,,MO,2781,Kanadewadi,12.2,,
418,Kankavli To Solapur,Kankavli,Solapur,,MO,2871,Nandgaon Fata,15,,
418,Kankavli To Solapur,Kankavli,Solapur,,MO,2904,Phonda,17.9,,
418,Kankavli To Solapur,Kankavli,Solapur,,MO,2722,Gangowadi,19,,
418,Kankavli To Solapur,Kankavli,Solapur,,MO,23566,Dajipur,32.5,,
418,Kankavli To Solapur,Kankavli,Solapur,,MO,24004,Hasane,38.5,,
418,Kankavli To Solapur,Kankavli,Solapur,,MO,23137,Bambar,44.4,,
418,Kankavli To Solapur,Kankavli,Solapur,,MO,25530,Shelap,47.9,,
418,Kankavli To Solapur,Kankavli,Solapur,,MO,30607,Ajiwade,51.6,,
418,Kankavli To Solapur,Kankavli,Solapur,,MO,23601,Daoudwadi,53,,
418,Kankavli To Solapur,Kankavli,Solapur,,MO,25393,Radhanagri Dam,56,,
418,Kankavli To Solapur,Kankavli,Solapur,,MO,23695,Fejiwade,58.4,,
418,Kankavli To Solapur,Kankavli,Solapur,,MO,24014,Hatimahal,59.2,,
418,Kankavli To Solapur,Kankavli,Solapur,,MO,25336,Radhanagari,64,,
418,Kankavli To Solapur,Kankavli,Solapur,,MO,23719,Gaibi Police Stn.,69,,
418,Kankavli To Solapur,Kankavli,Solapur,,MO,24322,Khindi Vharavade,72.1,,
418,Kankavli To Solapur,Kankavli,Solapur,,MO,23049,Anaje,77,,
418,Kankavli To Solapur,Kankavli,Solapur,,MO,30597,Awali Budruk,80,,
418,Kankavli To Solapur,Kankavli,Solapur,,MO,25306,Powar House,83,,
418,Kankavli To Solapur,Kankavli,Solapur,,MO,23014,Amjai Varavade,84,,
418,Kankavli To Solapur,Kankavli,Solapur,,MO,25521,Shirase,86,,
418,Kankavli To Solapur,Kankavli,Solapur,,MO,23301,Bhopalwadi,87,,
